rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year,genres,actors,directors,distributor,importer
4,4,0,OLD,20125990,남쪽으로 튀어,2013-02-06,2630395500,5.6,-239411500,-8.3,5563756500,369978,-21639,-5.5,772571,396,8947,20130217,2013,"코미디,드라마","김윤석,오연수,한예리,백승환,박사랑",임순례,롯데쇼핑㈜롯데엔터테인먼트,
5,5,9,OLD,20126087,남자사용설명서,2013-02-14,1887530257,4.0,1831230257,3252.6,1948261257,259180,252094,3557.6,266899,372,7513,20130217,2013,"코미디,멜로/로맨스","이시영,오정세,이원종,박영규,김정태",이원석,(주)쇼박스,
6,6,43,OLD,20133981,헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,1433500500,3.0,1429262500,33724.9,1437738500,177245,176919,54269.6,177571,297,5263,20130217,2013,"액션,코미디,판타지","제레미 레너,젬마 아터튼,팜케 얀센",토미 위르콜라,(주)씨제이이엔엠,(주)씨제이이엔엠
7,7,-1,OLD,20123421,눈의 여왕,2013-02-07,1066624500,2.3,497803000,87.5,1658368000,160890,78487,95.2,245977,316,3000,20130217,2013,애니메이션,"박보영,이수근,최수민,장광","막심 스베쉬니코브,블라드 바르베",(주)넥스트엔터테인먼트월드(NEW),(주)씨씨에스미디어
8,8,-3,OLD,20123681,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,790824500,1.7,103599000,15.1,6368320500,110871,13340,13.7,867148,290,1824,20130217,2013,애니메이션,"이선,이미자,김환진,함수정,홍소영",박영균,(주)넥스트엔터테인먼트월드(NEW) | (주)씨제이이엔엠,
9,9,0,NEW,20123644,해양경찰 마르코,2013-02-14,621027000,1.3,621027000,100.0,629699000,95762,95762,100.0,96846,276,1915,20130217,2013,"어드벤처,애니메이션","이광수,송지효",얀 리벡,(주)인벤트스톤,(주)스마일이엔티
10,10,15,OLD,20123484,실버라이닝 플레이북,2013-02-14,495103500,1.0,483924000,4328.7,535384000,65362,63716,3871.0,70730,226,2957,20130217,2013,"멜로/로맨스,코미디,드라마","제니퍼 로렌스,브래들리 쿠퍼,로버트 드 니로",데이빗 O. 러셀,(주)나이너스엔터테인먼트,(주)누리픽쳐스
1,1,0,OLD,20127593,7번방의 선물,2013-01-23,10666045500,35.1,-7857154500,-42.4,74506400670,1519485,-1066677,-41.2,10387029,680,20954,20130224,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
2,2,21,OLD,20124401,신세계,2013-02-21,7853827755,25.9,7823741755,26004.6,7918935755,1030517,1026512,25630.8,1038731,671,11975,20130224,2013,"범죄,액션","이정재,최민식,황정민,박성웅,송지효",박훈정,(주)넥스트엔터테인먼트월드(NEW),
3,3,-1,OLD,20124083,베를린,2013-01-30,4437496000,14.6,-8677801500,-66.2,48387828637,627764,-1171561,-65.1,6607795,536,15807,20130224,2013,액션,"하정우,한석규,류승범,전지현,이경영",류승완,(주)씨제이이엔엠,
4,4,1,OLD,20126087,남자사용설명서,2013-02-14,1295975000,4.3,-591555257,-31.3,3244236257,187813,-71367,-27.5,454712,349,7325,20130224,2013,"코미디,멜로/로맨스","이시영,오정세,이원종,박영규,김정태",이원석,(주)쇼박스,
5,5,23,OLD,20128747,분노의 윤리학,2013-02-21,1067382000,3.5,1053150000,7399.9,1085713000,142321,139936,5867.3,145433,302,5796,20130224,2013,"스릴러,드라마","이제훈,조진웅,곽도원,문소리,김태훈",박명랑,롯데쇼핑㈜롯데엔터테인먼트,
6,6,-3,OLD,20123387,다이하드: 굿 데이 투 다이,2013-02-06,873234000,2.9,-4135379000,-82.6,10718577000,124406,-547996,-81.5,1422248,326,6141,20130224,2013,"액션,범죄,스릴러","브루스 윌리스,제이 코트니,메리 엘리자베스 윈스티드,패트릭 스튜어트,콜 하우저",존 무어,이십세기폭스코리아(주),이십세기폭스코리아(주)
7,7,54,OLD,20133924,빌리와 용감한 녀석들 2 ,2013-02-21,734900000,2.4,733188000,42826.4,736612000,110144,109930,51369.2,110358,289,2389,20130224,2013,"애니메이션,어드벤처","캐리 엘위스,크리스토퍼 로이드,제인 린치,바네사 윌리암스,정태호",닉힐 아드바니,(주)에스비에스콘텐츠허브,㈜코리아스크린
8,8,-2,OLD,20133981,헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,629163000,2.1,-804337500,-56.1,2066901500,83946,-93299,-52.6,261517,283,4753,20130224,2013,"액션,코미디,판타지","제레미 레너,젬마 아터튼,팜케 얀센",토미 위르콜라,(주)씨제이이엔엠,(주)씨제이이엔엠
9,9,22,OLD,20123821,더 자이언트,2013-02-21,405419500,1.3,389516500,2449.3,431226500,63596,61542,2996.2,66888,227,1677,20130224,2013,애니메이션,"김준현,정범균,김지민",프라파스 콜사라논,(주)마인스 엔터테인먼트,(주)애니플러스 | (주)토러스엔터테인먼트
10,10,-1,OLD,20123644,해양경찰 마르코,2013-02-14,386646000,1.3,-234381000,-37.7,1016345000,62794,-32968,-34.4,159640,242,2051,20130224,2013,"어드벤처,애니메이션","이광수,송지효",얀 리벡,(주)인벤트스톤,(주)스마일이엔티
1,1,1,OLD,20124401,신세계,2013-02-21,11110713650,31.0,3256885895,41.5,19029649405,1491325,460808,44.7,2530056,648,19383,20130303,2013,"범죄,액션","이정재,최민식,황정민,박성웅,송지효",박훈정,(주)넥스트엔터테인먼트월드(NEW),
2,2,-1,OLD,20127593,7번방의 선물,2013-01-23,9225980000,25.7,-1440065500,-13.5,83732380670,1317885,-201600,-13.3,11704914,579,17400,20130303,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
3,3,0,NEW,20123641,잭 더 자이언트 킬러,2013-02-28,5196284500,14.5,5196284500,100.0,5196284500,659848,659848,100.0,659848,507,9166,20130303,2013,"판타지,드라마,어드벤처","니콜라스 홀트,이완 맥그리거,엘리너 톰린슨,빌 나이,존 카저",브라이언 싱어,워너브러더스 코리아(주),워너브러더스 코리아(주)
4,4,-1,OLD,20124083,베를린,2013-01-30,2759387000,7.7,-1678109000,-37.8,51147215637,389889,-237875,-37.9,6997684,426,10623,20130303,2013,액션,"하정우,한석규,류승범,전지현,이경영",류승완,(주)씨제이이엔엠,
5,5,20,OLD,20120467,스토커,2013-02-28,1807145674,5.0,1784739674,7965.5,1829551674,237874,235114,8518.6,240634,329,7085,20130303,2013,"드라마,스릴러","미아 와시코브스카,매튜 구드,니콜 키드먼,더못 멀로니,재키 위버",박찬욱,이십세기폭스코리아(주) | 월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)
